evidence_source,run_id,phase,process_seconds,phase_status,generations_recorded,result_json_present,external_tree_directory_present,return_code,interpretation
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c3_replica__300s,hga_best_solution_extraction_complete,295.06141489999999,complete,,True,False,0,label=local_redecode_hga
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c3_replica__300s,hga_route_decoding,295.06162,skipped_deadline,,True,False,0,label=local_redecode_hga;no decoded candidate or verification claim
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c3_replica__300s,improving_gini_range_construction_complete,295.079094,complete,,True,False,0,lower=0.000000;upper=0.607529;complete=true
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c3_replica__300s,exact_phase_not_started,295.0792376,deadline,,True,False,0,conservative_lb=0;source=nonnegative_objective
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c3_replica__300s,final_result_serialization_start,295.08067490000002,start,,True,False,0,
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c3_replica__300s,final_result_serialization_complete,295.08158570000001,complete,,True,False,0,
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c3_replica__300s,process_exit,295.08166569999997,complete,,True,False,0,rc=0
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,process_entry,0,start,,True,True,0,absolute process deadline origin
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,instance_parsing_start,0.0010154999999999999,start,,True,True,0,E:\codes\ExactEBRP\reference\heldout_round26\V50_M3\moderate_seed6301.txt
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,instance_parsing_complete,0.0022014000000000001,complete,,True,True,0,instance=moderate_seed6301.txt
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,initial_model_data_preprocessing_complete,0.0025680999999999998,complete,,True,True,0,instance data initialized; empty-route incumbent independently verified
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,hga_start,0.0029639000000000002,start,,True,True,0,label=primary_hga;native_generation_stagnation_hga
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,hga_generation_loop_complete,51.6238223,complete,,True,True,0,label=primary_hga;generations=3325;no_improve=2000
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,hga_best_solution_extraction_start,51.626597400000001,start,,True,True,0,label=primary_hga
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,hga_best_solution_extraction_complete,51.626720599999999,complete,,True,True,0,label=primary_hga
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,hga_route_decoding_start,51.626808799999999,start,,True,True,0,label=primary_hga
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,hga_route_decoding_complete,51.627642100000003,complete,,True,True,0,label=primary_hga
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,independent_hga_verification_start,51.627740500000002,start,,True,True,0,label=primary_hga
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,independent_hga_verification_complete,51.627846400000003,complete,,True,True,0,label=primary_hga;feasible=true
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,improving_gini_range_construction_complete,51.638269700000002,complete,,True,True,0,lower=0.000000;upper=0.607529;complete=true
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,exact_phase_start,51.638401999999999,start,,True,True,0,arm=round29-bound-gain-incremental
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,connectivity_flow_preparation_complete,51.638523499999998,complete,,True,True,0,variant=round20-current
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,gurobi_environment_creation,51.644593,complete,,True,True,0,fixed_interval_backend
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,external_backend_creation,51.644756999999998,complete,,True,True,0,backend=gurobi;arm=C4-CANDIDATE
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,external_artifact_directory_creation,51.645107199999998,complete,,True,True,0,E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s\external
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,first_tree_ledger_opened,51.646022000000002,complete,,True,True,0,E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s\external\paper_tree_events.csv
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,first_external_tree_event,51.646321,start,,True,True,0,scheduler_select_next
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,root_canonical_model_construction_start,51.646629900000001,start,,True,True,0,leaf=L0
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,first_interval_model_build,51.646830399999999,start,,True,True,0,leaf=L0
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,static_row_factory_preparation_complete,52.825003000000002,complete,,True,True,0,canonical strengthened interval row factory
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,root_canonical_model_construction_complete,52.825151099999999,complete,,True,True,0,leaf=L0
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,first_interval_model_build_complete,52.825234299999998,complete,,True,True,0,leaf=L0
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,first_lp_optimize_launch,52.8253226,start,,True,True,0,leaf=L0
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,final_result_serialization_start,295.0855813,start,,True,True,0,
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,final_result_serialization_complete,295.09460580000001,complete,,True,True,0,
Round29 Stage0 transition,transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s,process_exit,295.09484930000002,complete,,True,True,0,rc=0
