record_type,path_or_key,initial_status,size_bytes,last_write_utc,sha256,must_remain_untouched,notes
untracked,scripts/__pycache__/run_tailored_bc_bound_trajectory_round.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/run_tailored_bc_fair_diagnosis_round.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/run_tailored_bc_finalization_round.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/run_tailored_bc_formulation_snapshot_round.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/run_tailored_bc_longrun_convergence_round.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/run_tailored_bc_low_gini_strengthening_round.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/run_tailored_bc_lp_pattern_strengthening_round.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/run_tailored_bc_plateau_diagnosis_round.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/run_tailored_bc_route_profile_full_frontier_round.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/run_tailored_bc_s_bucket_strengthening_round.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/run_tailored_bc_stability_round.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/run_tailored_bc_structural_cut_round.cpython-312.pyc,??,,,,true,Pre-existing Python cache
untracked,scripts/__pycache__/run_tailored_bc_structural_policy_round.cpython-312.pyc,??,,,,true,Pre-existing Python cache
ignored_build,build/ExactEBRP.exe,ignored,3755785,2026-07-11T22:38:26.8638380Z,AEF3B7312809E2CCD8C3EC657FAF986A3CD737438DDCEA3B3286DE76C77CB4B3,true,Pre-existing executable
ignored_build,build/ExactEBRP_debug.exe,ignored,54782846,2026-07-11T22:36:17.6247304Z,D741934A5C97FF9C41391E4C740A2B93B08D28299632C08A342B22569FCADFE8,true,Pre-existing executable
ignored_build,build/ExactEBRPCompare.exe,ignored,1624525,2026-06-23T07:07:05.7382830Z,FAC639AEB08F7A03A3791882DCC832F3A2AA20913C8A0FEFB531FC360272E842,true,Pre-existing executable
ignored_build,build-codex/ExactEBRP.exe,ignored,3752211,2026-07-10T17:32:58.6405646Z,5E2D275A5953A991421FBD62A91B868AE491CFE5C63CCE2FABA174FE3A803C6A,true,Pre-existing executable
ignored_build,build-codex/ExactEBRP_routefix.exe,ignored,3752771,2026-07-11T06:05:00.3655471Z,B75854DA0233C855267C72DDB35516EF93C021CBF76C9521DCA239343489ED77,true,Pre-existing executable
ignored_directory,build/,ignored,3,2026-07-11T22:38:26.7828337Z,,true,Pre-existing build directory file count
ignored_directory,build-codex/,ignored,2,2026-07-11T06:05:00.2148316Z,,true,Pre-existing build directory file count
ignored_directory,logs/,ignored,369,2026-07-11T06:09:21.2529191Z,,true,Pre-existing logs directory file count
