dataset_family,landscape_id,selection_id,V,geographic_regime,replicate,inventory_regime,local_imbalance_level,seed,source_station_row_indices,total_initial_inventory,total_target_inventory,station_inventory_minus_target,local_l1_imbalance,surplus_station_count,deficit_station_count,landscape_path,landscape_file_sha256,mapping_path,capacity_sha256,coordinate_sha256
citibike443-regional-v1,cb443_V08_regional_r2_balanced,cb443_V08_regional_r2,8,regional,2,balanced,moderate,1796404803,207;161;213;253;243;160;189;209,94,94,0,34,4,4,reference/citibike443-regional-v1/landscapes/V08/cb443_V08_regional_r2_balanced.json,6ad78dbfbb4282227d14e1ac1165194b98e69a5ce3bc28af89bb9e339f706aeb,reference/citibike443-regional-v1/mappings/V08/cb443_V08_regional_r2_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V08_regional_r2_surplus,cb443_V08_regional_r2,8,regional,2,surplus,high,1034563474,207;161;213;253;243;160;189;209,105,94,11,61,4,4,reference/citibike443-regional-v1/landscapes/V08/cb443_V08_regional_r2_surplus.json,9c842c5411cf0bd49da2dca45d01aebc37934bc72ac5cf07cb676932de313872,reference/citibike443-regional-v1/mappings/V08/cb443_V08_regional_r2_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V12_compact_r1_shortage,cb443_V12_compact_r1,12,compact,1,shortage,high,362627458,307;294;302;315;319;314;288;339;285;297;329;268,112,127,-15,77,6,6,reference/citibike443-regional-v1/landscapes/V12/cb443_V12_compact_r1_shortage.json,8adae6b52ea2e29791c494555e03a5a372f0ff72cf7da7704666d2c50a26c900,reference/citibike443-regional-v1/mappings/V12/cb443_V12_compact_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V12_compact_r1_balanced,cb443_V12_compact_r1,12,compact,1,balanced,moderate,434254248,307;294;302;315;319;314;288;339;285;297;329;268,127,127,0,46,6,6,reference/citibike443-regional-v1/landscapes/V12/cb443_V12_compact_r1_balanced.json,53ffdc9917b615cc72fca2b242589e0a973b417e1e62fb430ac1f58996da2e82,reference/citibike443-regional-v1/mappings/V12/cb443_V12_compact_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V12_compact_r1_surplus,cb443_V12_compact_r1,12,compact,1,surplus,high,1733976540,307;294;302;315;319;314;288;339;285;297;329;268,142,127,15,77,6,6,reference/citibike443-regional-v1/landscapes/V12/cb443_V12_compact_r1_surplus.json,cbacab053c398c47039cb3d95f1d6cf0f42444823b9ae19a5cde9bd4df151a4e,reference/citibike443-regional-v1/mappings/V12/cb443_V12_compact_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V12_compact_r2_shortage,cb443_V12_compact_r2,12,compact,2,shortage,high,1329793912,127;144;114;113;145;162;116;92;105;129;174;165,189,215,-26,130,6,6,reference/citibike443-regional-v1/landscapes/V12/cb443_V12_compact_r2_shortage.json,411e550a78ee150b4c3a6feb550c873bb4fad783ef9dd8cde63ece88e1afaea6,reference/citibike443-regional-v1/mappings/V12/cb443_V12_compact_r2_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V12_compact_r2_balanced,cb443_V12_compact_r2,12,compact,2,balanced,moderate,292486104,127;144;114;113;145;162;116;92;105;129;174;165,215,215,0,78,6,6,reference/citibike443-regional-v1/landscapes/V12/cb443_V12_compact_r2_balanced.json,90e15b8650bd9871ae3cc1354407cb0008a5bd1fdca77224b8d6aaa171885a34,reference/citibike443-regional-v1/mappings/V12/cb443_V12_compact_r2_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V12_compact_r2_surplus,cb443_V12_compact_r2,12,compact,2,surplus,high,921242158,127;144;114;113;145;162;116;92;105;129;174;165,241,215,26,130,6,6,reference/citibike443-regional-v1/landscapes/V12/cb443_V12_compact_r2_surplus.json,ea3fdd0a7cf87a9729404092b5a525725f2a90f353f9a531dbf4312fc46c2fa8,reference/citibike443-regional-v1/mappings/V12/cb443_V12_compact_r2_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V12_regional_r1_shortage,cb443_V12_regional_r1,12,regional,1,shortage,high,1710700240,436;403;431;404;441;428;424;417;399;416;401;415,173,197,-24,118,6,6,reference/citibike443-regional-v1/landscapes/V12/cb443_V12_regional_r1_shortage.json,1028c79ab3d81fbb8801cd066f738072d2f38785e2e7fdc2f59d75e05f77e552,reference/citibike443-regional-v1/mappings/V12/cb443_V12_regional_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V12_regional_r1_balanced,cb443_V12_regional_r1,12,regional,1,balanced,moderate,1456358798,436;403;431;404;441;428;424;417;399;416;401;415,197,197,0,68,6,6,reference/citibike443-regional-v1/landscapes/V12/cb443_V12_regional_r1_balanced.json,90a3c8297f42ba7ffa7b22b4c1512d3b05a942c91c015b12f697de682c47ce9c,reference/citibike443-regional-v1/mappings/V12/cb443_V12_regional_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V12_regional_r1_surplus,cb443_V12_regional_r1,12,regional,1,surplus,high,1149583599,436;403;431;404;441;428;424;417;399;416;401;415,221,197,24,118,6,6,reference/citibike443-regional-v1/landscapes/V12/cb443_V12_regional_r1_surplus.json,3c54ddfdb77cc63b508897459571e5a2b74b4732019ad64a9a3e2e695de49281,reference/citibike443-regional-v1/mappings/V12/cb443_V12_regional_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V12_regional_r2_shortage,cb443_V12_regional_r2,12,regional,2,shortage,high,992716071,1;9;43;14;36;2;19;23;3;8;34;6,112,127,-15,77,6,6,reference/citibike443-regional-v1/landscapes/V12/cb443_V12_regional_r2_shortage.json,d50143bac363e790a41c204f650a1889d597dfb38baf96cc1f2253242ea866f3,reference/citibike443-regional-v1/mappings/V12/cb443_V12_regional_r2_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V12_regional_r2_balanced,cb443_V12_regional_r2,12,regional,2,balanced,moderate,302158778,1;9;43;14;36;2;19;23;3;8;34;6,127,127,0,48,6,6,reference/citibike443-regional-v1/landscapes/V12/cb443_V12_regional_r2_balanced.json,2d52a8fa3157dfcd5ba846773886c754447a16321ab7e5959d09c8b9d1092c6c,reference/citibike443-regional-v1/mappings/V12/cb443_V12_regional_r2_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V12_regional_r2_surplus,cb443_V12_regional_r2,12,regional,2,surplus,high,956413256,1;9;43;14;36;2;19;23;3;8;34;6,142,127,15,77,6,6,reference/citibike443-regional-v1/landscapes/V12/cb443_V12_regional_r2_surplus.json,df38819f495d713b01395153b29cea6af989de4571bb94d85a56bd20e2ba05e8,reference/citibike443-regional-v1/mappings/V12/cb443_V12_regional_r2_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V20_compact_r1_shortage,cb443_V20_compact_r1,20,compact,1,shortage,high,934719510,404;394;420;401;416;407;408;387;417;414;428;425;426;385;397;376;379;399;384;419,221,251,-30,152,10,10,reference/citibike443-regional-v1/landscapes/V20/cb443_V20_compact_r1_shortage.json,e1750a8b22f14cee6f63a109214722acb51147a3fc970c64bb28bbd7824cfb7f,reference/citibike443-regional-v1/mappings/V20/cb443_V20_compact_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V20_compact_r1_balanced,cb443_V20_compact_r1,20,compact,1,balanced,moderate,1145932864,404;394;420;401;416;407;408;387;417;414;428;425;426;385;397;376;379;399;384;419,251,251,0,88,10,10,reference/citibike443-regional-v1/landscapes/V20/cb443_V20_compact_r1_balanced.json,26233b19a2c47d91706e4586ca1c2ba33ea0ec5947d5a6804d5b48eb11a52961,reference/citibike443-regional-v1/mappings/V20/cb443_V20_compact_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V20_compact_r1_surplus,cb443_V20_compact_r1,20,compact,1,surplus,high,1325576314,404;394;420;401;416;407;408;387;417;414;428;425;426;385;397;376;379;399;384;419,281,251,30,154,10,10,reference/citibike443-regional-v1/landscapes/V20/cb443_V20_compact_r1_surplus.json,489a6366affbc3e455af0268264ba592914779a9635b7cf765c08ad825cd76ea,reference/citibike443-regional-v1/mappings/V20/cb443_V20_compact_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V20_compact_r2_shortage,cb443_V20_compact_r2,20,compact,2,shortage,high,254425592,1;6;0;10;5;2;14;8;18;4;23;29;20;3;17;24;37;36;40;34,194,221,-27,131,10,10,reference/citibike443-regional-v1/landscapes/V20/cb443_V20_compact_r2_shortage.json,be8a0e25fa5ddf33181622c0a38400bbf84b48f14b99281745ebf4c2ae0783dd,reference/citibike443-regional-v1/mappings/V20/cb443_V20_compact_r2_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V20_compact_r2_balanced,cb443_V20_compact_r2,20,compact,2,balanced,moderate,1458346620,1;6;0;10;5;2;14;8;18;4;23;29;20;3;17;24;37;36;40;34,221,221,0,80,10,10,reference/citibike443-regional-v1/landscapes/V20/cb443_V20_compact_r2_balanced.json,a7d6c9d38178f24aca811b078ccacb6a64a811f3d71c871f8f68bd127d327dce,reference/citibike443-regional-v1/mappings/V20/cb443_V20_compact_r2_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V20_compact_r2_surplus,cb443_V20_compact_r2,20,compact,2,surplus,high,1935967883,1;6;0;10;5;2;14;8;18;4;23;29;20;3;17;24;37;36;40;34,248,221,27,133,10,10,reference/citibike443-regional-v1/landscapes/V20/cb443_V20_compact_r2_surplus.json,90e054de7d5ad3c3276a7559f40451060e44274a2dfed1c3b9712c3eeab2833d,reference/citibike443-regional-v1/mappings/V20/cb443_V20_compact_r2_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V20_regional_r1_shortage,cb443_V20_regional_r1,20,regional,1,shortage,high,484721349,288;207;374;295;381;257;339;246;297;347;319;361;276;294;320;275;371;253;315;321,190,216,-26,130,10,10,reference/citibike443-regional-v1/landscapes/V20/cb443_V20_regional_r1_shortage.json,6a2e058aa807d01c33eb7f2aaa18c817c90d068a6a7fae43d497ab0bb325c12e,reference/citibike443-regional-v1/mappings/V20/cb443_V20_regional_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V20_regional_r1_balanced,cb443_V20_regional_r1,20,regional,1,balanced,moderate,1484309490,288;207;374;295;381;257;339;246;297;347;319;361;276;294;320;275;371;253;315;321,216,216,0,76,10,10,reference/citibike443-regional-v1/landscapes/V20/cb443_V20_regional_r1_balanced.json,9aca65cca54965ba473378b47662e1b5d467fcbe0cbda11d9738c117abaa0e57,reference/citibike443-regional-v1/mappings/V20/cb443_V20_regional_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V20_regional_r1_surplus,cb443_V20_regional_r1,20,regional,1,surplus,high,2132740068,288;207;374;295;381;257;339;246;297;347;319;361;276;294;320;275;371;253;315;321,242,216,26,130,10,10,reference/citibike443-regional-v1/landscapes/V20/cb443_V20_regional_r1_surplus.json,ab33a6d1491bb53121d0993d90e3efec306e07e3ce4805f905f8048514cb511e,reference/citibike443-regional-v1/mappings/V20/cb443_V20_regional_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V20_regional_r2_shortage,cb443_V20_regional_r2,20,regional,2,shortage,high,498092074,144;225;65;150;230;92;193;183;104;129;229;165;205;85;187;114;99;162;206;140,317,360,-43,215,10,10,reference/citibike443-regional-v1/landscapes/V20/cb443_V20_regional_r2_shortage.json,23d8a3dfa22e11660e16ca33252907ebc5444fb78e6fccf728e33f02f0f84ef6,reference/citibike443-regional-v1/mappings/V20/cb443_V20_regional_r2_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V20_regional_r2_balanced,cb443_V20_regional_r2,20,regional,2,balanced,moderate,257328425,144;225;65;150;230;92;193;183;104;129;229;165;205;85;187;114;99;162;206;140,360,360,0,130,10,10,reference/citibike443-regional-v1/landscapes/V20/cb443_V20_regional_r2_balanced.json,74233b952bd6ed0132c66ebb610018359e2f265a3fb4ff9526774aef84436af5,reference/citibike443-regional-v1/mappings/V20/cb443_V20_regional_r2_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V20_regional_r2_surplus,cb443_V20_regional_r2,20,regional,2,surplus,high,1858448991,144;225;65;150;230;92;193;183;104;129;229;165;205;85;187;114;99;162;206;140,403,360,43,215,10,10,reference/citibike443-regional-v1/landscapes/V20/cb443_V20_regional_r2_surplus.json,050ba330539e6c7448664b773d57aed74c63fc4da3471329b858548315264e53,reference/citibike443-regional-v1/mappings/V20/cb443_V20_regional_r2_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V30_compact_r1_shortage,cb443_V30_compact_r1,30,compact,1,shortage,high,656382708,402;397;388;414;408;391;384;416;379;431;426;372;394;404;365;420;362;376;387;435;428;401;349;346;407;417;442;425;385;354,353,401,-48,240,15,15,reference/citibike443-regional-v1/landscapes/V30/cb443_V30_compact_r1_shortage.json,ad09b78643e8cd5a4e6ed463528d6d599c690ae33e0ba9aaebf346fac37cf0a3,reference/citibike443-regional-v1/mappings/V30/cb443_V30_compact_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V30_compact_r1_balanced,cb443_V30_compact_r1,30,compact,1,balanced,moderate,18381467,402;397;388;414;408;391;384;416;379;431;426;372;394;404;365;420;362;376;387;435;428;401;349;346;407;417;442;425;385;354,401,401,0,140,15,15,reference/citibike443-regional-v1/landscapes/V30/cb443_V30_compact_r1_balanced.json,a70f67ce09056b48b9b844150788c94cb7369793f683607665f52821e1530f11,reference/citibike443-regional-v1/mappings/V30/cb443_V30_compact_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V30_compact_r1_surplus,cb443_V30_compact_r1,30,compact,1,surplus,high,1963190156,402;397;388;414;408;391;384;416;379;431;426;372;394;404;365;420;362;376;387;435;428;401;349;346;407;417;442;425;385;354,449,401,48,242,15,15,reference/citibike443-regional-v1/landscapes/V30/cb443_V30_compact_r1_surplus.json,7fde03b8d20a582687148af9874ebeab104bf4fe1a120afd58236bf41506eef4,reference/citibike443-regional-v1/mappings/V30/cb443_V30_compact_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V30_compact_r2_shortage,cb443_V30_compact_r2,30,compact,2,shortage,high,2109309968,0;2;5;4;8;1;6;10;3;14;18;17;20;12;9;24;23;19;29;7;21;15;34;11;32;40;41;30;37;43,287,326,-39,197,15,15,reference/citibike443-regional-v1/landscapes/V30/cb443_V30_compact_r2_shortage.json,1787eb78408d6bbeba1947edac30c5540e79b71adce8c19fd67280122cf9e8bd,reference/citibike443-regional-v1/mappings/V30/cb443_V30_compact_r2_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V30_compact_r2_balanced,cb443_V30_compact_r2,30,compact,2,balanced,moderate,590697535,0;2;5;4;8;1;6;10;3;14;18;17;20;12;9;24;23;19;29;7;21;15;34;11;32;40;41;30;37;43,326,326,0,118,15,15,reference/citibike443-regional-v1/landscapes/V30/cb443_V30_compact_r2_balanced.json,9001813e8f18f9ff438b92c18fb7ef4036109fbd1493a76cf2255ec8d59aee43,reference/citibike443-regional-v1/mappings/V30/cb443_V30_compact_r2_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V30_compact_r2_surplus,cb443_V30_compact_r2,30,compact,2,surplus,high,354557315,0;2;5;4;8;1;6;10;3;14;18;17;20;12;9;24;23;19;29;7;21;15;34;11;32;40;41;30;37;43,365,326,39,197,15,15,reference/citibike443-regional-v1/landscapes/V30/cb443_V30_compact_r2_surplus.json,3541ccb399f9abf35adab7105356c1e787794064aa46623a9294b119d849d375,reference/citibike443-regional-v1/mappings/V30/cb443_V30_compact_r2_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
citibike443-regional-v1,cb443_V30_regional_r1_shortage,cb443_V30_regional_r1,30,regional,1,shortage,high,266469713,162;154;284;65;198;140;230;92;202;232;104;239;165;127;267;167;193;109;145;205;169;251;85;187;117;256;223;225;150;121,445,506,-61,311,15,15,reference/citibike443-regional-v1/landscapes/V30/cb443_V30_regional_r1_shortage.json,c531f5f7777795fbb5d064ac3cc43e9976369260d75bd7dbf3c77422d37df278,reference/citibike443-regional-v1/mappings/V30/cb443_V30_regional_r1_source_mapping.csv,92ca9b05e66d1425bbc801be2dd9c0776b1a9707e62a60b821d941aa98625ae1,c5fd892cc82e07332d4796edb0527182d9c60883acc9b87a5410dab569f990d1
