audit_section,mechanism_name,formula,where_implemented,proof_source,audit_script,paper_safe,conditional_valid,diagnostic_only,audit_passed,failures,file,line,line_text,warning_only
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,4282,"ebrp::SolveResult solveExternalIncumbentDiagnostic(const ebrp::Instance& instance,",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,4286,if (opt.external_incumbent_path.empty()) {,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,4288,"? std::filesystem::path(""results/optimization_update_round12/raw/external_incumbent_synthetic.json"")",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,4289,": std::filesystem::path(opt.out_path).parent_path() / ""external_incumbent_synthetic.json"";",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,4292,opt.external_incumbent_path = generated_path;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,4293,"opt.external_incumbent_format = ""route_json"";",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,4296,"result.method = ""external-incumbent-test"";",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,4297,result.external_incumbent_attempted = true;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,8221,!opt.hga_incumbent_path.empty() || !opt.external_incumbent_path.empty();,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,8222,result.external_incumbent_attempted = !opt.external_incumbent_path.empty();,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,8251,result.external_incumbent_verified = true;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,8252,result.external_incumbent_objective = verification.objective;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,8253,result.external_incumbent_G = verification.G;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,8254,result.external_incumbent_P = verification.P;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,8255,"result.external_incumbent_rejection_reason = ""none"";",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,8256,result.external_incumbent_used_in_large_run = instance.V >= 20;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,8257,result.external_incumbent_effect_on_UB =,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,8266,result.external_incumbent_rejection_reason =,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,8274,result.external_incumbent_rejection_reason = e.what();,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,8281,"testPath(opt.external_incumbent_path, opt.external_incumbent_format, ""external-incumbent"");",True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,src\main.cpp,9280,"auto claim = make_claim(""route_mask_not_certifying"");",True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,src\main.cpp,9285,claim.route_mask_all_subset_enumeration_certifying = false;,True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,src\main.cpp,9286,"add_rejected(""route_mask_not_certifying"", claim);",True
source_scan,BPC certificate mention,,,,,True,False,False,True,,src\main.cpp,10670,"""paper-bpc-core skipped default BPC-owned auto incumbent portfolio because a verified archive incumbent was already accepted as UB-only cutoff; no lower-bound certificate is inherited from the archive"");",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,10811,result.external_incumbent_verified = true;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,10812,result.external_incumbent_objective = imported.objective;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,10813,result.external_incumbent_G = imported.G;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,10814,result.external_incumbent_P = imported.P;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,10815,result.external_incumbent_used_in_large_run = instance.V >= 20;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,10816,"result.external_incumbent_rejection_reason = ""none"";",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,10831,result.external_incumbent_effect_on_UB =,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,15650,result.no_archive_scanning =,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,15653,result.no_external_known_ub =,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,15656,opt.external_incumbent_path.empty() &&,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,15659,!result.external_incumbent_attempted;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,15679,"if (!result.no_archive_scanning) rejections.push_back(""archive_scanning_or_archive_ub"");",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,15680,"if (!result.no_external_known_ub) rejections.push_back(""external_known_ub_or_import"");",True
source_scan,BPC certificate mention,,,,,True,False,False,True,,src\main.cpp,16821,result.bpc_interval_certificate_basis =,True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,src\main.cpp,16923,result.route_mask_all_subset_enumeration_certifying = false;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,16943,result.no_archive_scanning = !opt.incumbent_archive_auto;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,16944,result.no_external_known_ub = opt.incumbent_json_path.empty() &&,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,16945,opt.external_incumbent_path.empty() && opt.hga_incumbent_path.empty();,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,17119,"} else if (opt.method == ""external-incumbent-test"") {",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\main.cpp,17120,"results.push_back(solveExternalIncumbentDiagnostic(instance, opt));",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,158,"method == ""external-incumbent-test"" ||",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,250,"if (method == ""external-incumbent-test"") return ""external_incumbent_diagnostic"";",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,298,if (!result.no_archive_scanning) return false;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,299,if (!result.no_external_known_ub) return false;,True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,src\Result.cpp,316,if (result.route_mask_all_subset_enumeration_certifying) return false;,True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,src\Result.cpp,334,const bool route_mask_based_certificate =,True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,src\Result.cpp,339,route_mask_based_certificate) {,True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,src\Result.cpp,342,if (route_mask_based_certificate &&,True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,src\Result.cpp,343,!result.route_mask_all_subset_enumeration_certifying) {,True
source_scan,BPC certificate mention,,,,,True,False,False,True,,src\Result.cpp,348,if (!result.bpc_core_certificate_valid) return false;,True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,src\Result.cpp,704,"out << ""  \""route_mask_all_subset_enumeration_certifying\"": """,True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,src\Result.cpp,705,"<< (result.route_mask_all_subset_enumeration_certifying ? ""true"" : ""false"") << "",\n"";",True
source_scan,BPC certificate mention,,,,,True,False,False,True,,src\Result.cpp,1030,"out << ""  \""bpc_core_certificate_valid\"": """,True
source_scan,BPC certificate mention,,,,,True,False,False,True,,src\Result.cpp,1031,"<< (result.bpc_core_certificate_valid ? ""true"" : ""false"") << "",\n"";",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,1080,"out << ""  \""external_incumbent_attempted\"": """,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,1081,"<< (result.external_incumbent_attempted ? ""true"" : ""false"") << "",\n"";",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,1082,"out << ""  \""external_incumbent_verified\"": """,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,1083,"<< (result.external_incumbent_verified ? ""true"" : ""false"") << "",\n"";",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,1084,"out << ""  \""external_incumbent_objective\"": """,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,1085,"<< result.external_incumbent_objective << "",\n"";",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,1086,"out << ""  \""external_incumbent_G\"": """,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,1087,"<< result.external_incumbent_G << "",\n"";",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,1088,"out << ""  \""external_incumbent_P\"": """,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,1089,"<< result.external_incumbent_P << "",\n"";",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,1090,"out << ""  \""external_incumbent_rejection_reason\"": \""""",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,1091,"<< jsonEscape(result.external_incumbent_rejection_reason) << ""\"",\n"";",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,1902,"out << ""  \""no_archive_scanning\"": """,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,1903,"<< (result.no_archive_scanning ? ""true"" : ""false"") << "",\n"";",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,1904,"out << ""  \""no_external_known_ub\"": """,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,1905,"<< (result.no_external_known_ub ? ""true"" : ""false"") << "",\n"";",True
source_scan,BPC certificate mention,,,,,True,False,False,True,,src\Result.cpp,1971,"out << ""  \""bpc_interval_certificate_basis\"": \""""",True
source_scan,BPC certificate mention,,,,,True,False,False,True,,src\Result.cpp,1972,"<< jsonEscape(result.bpc_interval_certificate_basis) << ""\"",\n"";",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,2136,"out << ""  \""external_incumbent_used_in_large_run\"": """,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,2137,"<< (result.external_incumbent_used_in_large_run ? ""true"" : ""false"") << "",\n"";",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,2138,"out << ""  \""external_incumbent_used\"": """,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,2139,"<< (result.external_incumbent_used ? ""true"" : ""false"") << "",\n"";",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,2140,"out << ""  \""external_incumbent_effect_on_UB\"": """,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,2141,"<< result.external_incumbent_effect_on_UB << "",\n"";",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,2142,"out << ""  \""external_incumbent_improved_UB\"": """,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,2143,"<< (result.external_incumbent_improved_UB ? ""true"" : ""false"") << "",\n"";",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,2144,"out << ""  \""external_incumbent_effect_on_frontier_range\"": """,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,src\Result.cpp,2145,"<< result.external_incumbent_effect_on_frontier_range << "",\n"";",True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,include\Instance.hpp,324,std::string external_incumbent_path;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,include\Instance.hpp,325,"std::string external_incumbent_format = ""auto"";",True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,include\Instance.hpp,442,bool route_mask_all_subset_enumeration_certifying = true;,True
source_scan,route-mask certificate mention,,,,,True,False,False,True,,include\Result.hpp,211,bool route_mask_all_subset_enumeration_certifying = true;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,include\Result.hpp,305,bool external_incumbent_used = false;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,include\Result.hpp,306,bool external_incumbent_improved_UB = false;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,include\Result.hpp,307,double external_incumbent_effect_on_frontier_range = 0.0;,True
source_scan,BPC certificate mention,,,,,True,False,False,True,,include\Result.hpp,379,bool bpc_core_certificate_valid = false;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,include\Result.hpp,409,bool external_incumbent_attempted = false;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,include\Result.hpp,410,bool external_incumbent_verified = false;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,include\Result.hpp,411,double external_incumbent_objective = 0.0;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,include\Result.hpp,412,double external_incumbent_G = 0.0;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,include\Result.hpp,413,double external_incumbent_P = 0.0;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,include\Result.hpp,414,std::string external_incumbent_rejection_reason;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,include\Result.hpp,839,bool no_archive_scanning = true;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,include\Result.hpp,840,bool no_external_known_ub = true;,True
source_scan,BPC certificate mention,,,,,True,False,False,True,,include\Result.hpp,890,std::string bpc_interval_certificate_basis;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,include\Result.hpp,964,bool external_incumbent_used_in_large_run = false;,True
source_scan,known UB/archive/external incumbent mention,,,,,True,False,False,True,,include\Result.hpp,965,double external_incumbent_effect_on_UB = 0.0;,True
