file,snapshot_source,snapshot_scope,paper_certificate_role,audit_passed,failures
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\plain_vs_tailored_snapshot_comparison.csv,root_lp_relaxation_available_in_root_lp_solution_csv,,benchmark_only_plain_fixed_interval_mip,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\plain_vs_tailored_snapshot_comparison.csv,root_lp_relaxation_available_in_root_lp_solution_csv,,paper_safe_fixed_interval_tailored_bc,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\plain_vs_tailored_snapshot_comparison.csv,root_lp_relaxation_available_in_root_lp_solution_csv,,paper_safe_fixed_interval_tailored_bc,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\plain_vs_tailored_snapshot_comparison.csv,root_lp_relaxation_available_in_root_lp_solution_csv,,benchmark_only_plain_fixed_interval_mip,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\plain_vs_tailored_snapshot_comparison.csv,root_lp_relaxation_available_in_root_lp_solution_csv,,benchmark_only_plain_fixed_interval_mip,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\plain_vs_tailored_snapshot_comparison.csv,root_lp_relaxation_available_in_root_lp_solution_csv,,paper_safe_fixed_interval_tailored_bc,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\plain_vs_tailored_snapshot_comparison.csv,root_lp_relaxation_available_in_root_lp_solution_csv,,paper_safe_fixed_interval_tailored_bc,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\plain_vs_tailored_snapshot_comparison.csv,root_lp_relaxation_available_in_root_lp_solution_csv,,benchmark_only_plain_fixed_interval_mip,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\plain_vs_tailored_snapshot_comparison.csv,root_lp_relaxation_available_in_root_lp_solution_csv,,benchmark_only_plain_fixed_interval_mip,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\plain_vs_tailored_snapshot_comparison.csv,root_lp_relaxation_available_in_root_lp_solution_csv,,paper_safe_fixed_interval_tailored_bc,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\plain_vs_tailored_snapshot_comparison.csv,root_lp_relaxation_available_in_root_lp_solution_csv,,paper_safe_fixed_interval_tailored_bc,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\plain_vs_tailored_snapshot_comparison.csv,root_lp_relaxation_available_in_root_lp_solution_csv,,benchmark_only_plain_fixed_interval_mip,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\plain_vs_tailored_snapshot_comparison.csv,root_lp_relaxation_available_in_root_lp_solution_csv,,paper_safe_fixed_interval_tailored_bc,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\lp_snapshots\adaptive_child_low_gini_1_current_best_new_combined_paper_safe_1200s.root_lp_solution.csv,root_lp_relaxation,root_lp_relaxation,diagnostic_only,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\lp_snapshots\adaptive_child_low_gini_1_current_best_new_combined_paper_safe_300s.root_lp_solution.csv,root_lp_relaxation,root_lp_relaxation,diagnostic_only,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\lp_snapshots\adaptive_child_low_gini_1_current_best_new_combined_paper_safe_3600s.root_lp_solution.csv,root_lp_relaxation,root_lp_relaxation,diagnostic_only,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\lp_snapshots\adaptive_child_low_gini_1_plain_fixed_interval_mip_1200s.root_lp_solution.csv,root_lp_relaxation,root_lp_relaxation,diagnostic_only,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\lp_snapshots\adaptive_child_low_gini_1_plain_fixed_interval_mip_300s.root_lp_solution.csv,root_lp_relaxation,root_lp_relaxation,diagnostic_only,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\lp_snapshots\adaptive_child_low_gini_1_plain_fixed_interval_mip_3600s.root_lp_solution.csv,root_lp_relaxation,root_lp_relaxation,diagnostic_only,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\lp_snapshots\adaptive_child_low_gini_1_plain_fixed_interval_mip_telemetry_only_1200s.root_lp_solution.csv,root_lp_relaxation,root_lp_relaxation,diagnostic_only,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\lp_snapshots\adaptive_child_low_gini_1_plain_fixed_interval_mip_telemetry_only_300s.root_lp_solution.csv,root_lp_relaxation,root_lp_relaxation,diagnostic_only,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\lp_snapshots\adaptive_child_low_gini_1_plain_fixed_interval_mip_telemetry_only_3600s.root_lp_solution.csv,root_lp_relaxation,root_lp_relaxation,diagnostic_only,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\lp_snapshots\adaptive_child_low_gini_1_static_tailored_compact_bc_1200s.root_lp_solution.csv,root_lp_relaxation,root_lp_relaxation,diagnostic_only,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\lp_snapshots\adaptive_child_low_gini_1_static_tailored_compact_bc_300s.root_lp_solution.csv,root_lp_relaxation,root_lp_relaxation,diagnostic_only,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\lp_snapshots\adaptive_child_low_gini_1_static_tailored_compact_bc_3600s.root_lp_solution.csv,root_lp_relaxation,root_lp_relaxation,diagnostic_only,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\lp_snapshots\dominant_k4_low_gini_1_current_best_new_combined_paper_safe_1200s.root_lp_solution.csv,root_lp_relaxation,root_lp_relaxation,diagnostic_only,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\lp_snapshots\dominant_k4_low_gini_1_current_best_new_combined_paper_safe_300s.root_lp_solution.csv,root_lp_relaxation,root_lp_relaxation,diagnostic_only,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\lp_snapshots\dominant_k4_low_gini_1_current_best_new_combined_paper_safe_3600s.root_lp_solution.csv,root_lp_relaxation,root_lp_relaxation,diagnostic_only,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\lp_snapshots\dominant_k4_low_gini_1_plain_fixed_interval_mip_1200s.root_lp_solution.csv,root_lp_relaxation,root_lp_relaxation,diagnostic_only,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\lp_snapshots\dominant_k4_low_gini_1_plain_fixed_interval_mip_14400s.root_lp_solution.csv,root_lp_relaxation,root_lp_relaxation,diagnostic_only,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\lp_snapshots\dominant_k4_low_gini_1_plain_fixed_interval_mip_300s.root_lp_solution.csv,root_lp_relaxation,root_lp_relaxation,diagnostic_only,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\lp_snapshots\dominant_k4_low_gini_1_plain_fixed_interval_mip_3600s.root_lp_solution.csv,root_lp_relaxation,root_lp_relaxation,diagnostic_only,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\lp_snapshots\dominant_k4_low_gini_1_plain_fixed_interval_mip_telemetry_only_1200s.root_lp_solution.csv,root_lp_relaxation,root_lp_relaxation,diagnostic_only,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\lp_snapshots\dominant_k4_low_gini_1_plain_fixed_interval_mip_telemetry_only_300s.root_lp_solution.csv,root_lp_relaxation,root_lp_relaxation,diagnostic_only,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\lp_snapshots\dominant_k4_low_gini_1_plain_fixed_interval_mip_telemetry_only_3600s.root_lp_solution.csv,root_lp_relaxation,root_lp_relaxation,diagnostic_only,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\lp_snapshots\dominant_k4_low_gini_1_static_tailored_compact_bc_1200s.root_lp_solution.csv,root_lp_relaxation,root_lp_relaxation,diagnostic_only,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\lp_snapshots\dominant_k4_low_gini_1_static_tailored_compact_bc_14400s.root_lp_solution.csv,root_lp_relaxation,root_lp_relaxation,diagnostic_only,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\lp_snapshots\dominant_k4_low_gini_1_static_tailored_compact_bc_300s.root_lp_solution.csv,root_lp_relaxation,root_lp_relaxation,diagnostic_only,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\lp_snapshots\dominant_k4_low_gini_1_static_tailored_compact_bc_3600s.root_lp_solution.csv,root_lp_relaxation,root_lp_relaxation,diagnostic_only,True,
